"text","label"
"블록체인 기술 탑재 MMORPG '레전드 오브 이미르' 테크 데모 영상 공개 (1/4)","1"
"공매도 과열 종목 지정으로 공매도 거래 금지 적용 (5/13)","1"
"장현국 대표 명의 입장문 발표 (5/15)","1"
"신작 '브라운더스트2', 6월 글로벌 동시출시 및 사전 예약 개시 (5/10)","1"
"'P의 거짓' 게임 환경 최적화 위해 국내 IT·하드웨어 커뮤니티 '퀘이사존'과 MOU 체결 (3/23)","1"
"미국의 제재로 타격 입은 중국의 반도체 산업 지원하기 위해 'Xiaomi'와 함께 14억 5천만 달러 규모의 펀드에 투자 (3/3)","1"
"67억 원 규모의 자기주식 처분 결정 (6/14)","1"
"'로드 오브 히어로즈' 개발사 클로버게임즈와 위믹스 플랫폼 사업 협력 MOU 체결 (12/14)","1"
"미래이니셔티브센터(센터장 김범수, 남궁훈)에서 센터재무지원실 부사장 등 4명 신규 임원 인사 단행 (1/3)","1"
"종속회사인 네이버제트, 2,200억원 규모 투자 유치 (11/30)","1"
"3Q 실적 발표 (11/14)","1"
"IMC게임즈와 위믹스 플랫폼 게임 온보딩 등 블록체인 사업 협력을 위한 업무협약 체결 (1/19)","1"
"장현국 대표, '김남국 코인 논란' 관련 위믹스 유통량 논란 직접 해명 (5/21)","1"
"클라우드사업부문을 신설법인 'NHN클라우드'로 물적분할하는 안건 승인으로 사업 구조 변경 완료 (4/1)","1"
"주당 ￥ 5, 총 ￥ 4.5bn 규모 배당 결정 (2/17)","1"
"수집형 전략 RPG 신작 '이터널 삼국지', 국내 양대 마켓 출시 (5/24)","1"
"공매도 과열종목 지정으로 공매도 거래 금지 적용 (10/18)","1"
"신한투자증권, 1Q 기존작 실적이 시장 예상 상회하고 비용 통제됨에 따라 이익률 상승 전망하며 목표주가 10.5% 상향 조정 (4/25)","1"
"위믹스 토큰, 해외 가상자산 거래소 바이비트 신규 상장 (11/29)","1"
"남궁훈 대표이사 신규 선임에 따라 대표이사 변경 공시 (3/29)","1"
"개발 예정 신작 ‘P의 거짓(Lies of P)’ OST 음원 2종 공식 유튜브 채널에 공개 (4/1)","1"
"'서머너즈 워: 크로니클', 프랑스와 태국에서 4주 연속 최상위권 (4/2)","1"
"위메이드커넥트의 1인칭 멀티플레이어 슈팅게임 '블랙샷M'이 위믹스 플랫폼 온보딩 계약 체결 (2/28)","1"
"시가하락에 따라 위메이드이노베이션에 발행한 신주인수권행사가액의 조정 (4/25)","1"
"미래에셋에서 중국 외자 판호 발급 기준을 분석한 결과, 중국 진출시 성공 잠재력이 높은 종목으로 조이시티를 선정하며 주가 11% 상승 (12/29)","1"
"1Q 실적 발표 예고 (4/28)","1"
"게임 스타트업 유준테크놀로지 지분 7.5% 매입 (4/10)","1"
"한국콘텐츠진흥원 조사에서 '검은사막'이 지난 해 중동에서 가장 많이 즐기는 K-게임으로 확인 됨 (1/8)","1"
"1Q 실적 발표 (5/25)","1"
"판교 사옥 인근에 업계 최대 규모 게임 테스트 전용 공간 조성 (1/27)","1"
"3Q 실적 발표 예고 (10/29)","1"
"레인보우 식스 시리즈를 기반으로 한 1인칭 전술 멀티플레이어 슈팅 게임 '레인보우 식스 모바일' 출시 (4/6)","1"
"계열사 그라운드X, 양주일 카카오 부사장을 신임 대표로 내정 (3/2)","1"
"신작 프로젝트R의 정식 게임명 '배틀 크러쉬'로 확정, 3분기 모바일과 콘솔(닌텐도 스위치) 플랫폼으로 출시 예정 계획 발표 (/8)","1"
"자회사 DDI 통해 스웨덴 아이게이밍 기업 '슈퍼네이션' 인수 (1/12)","1"
"하이브로 개발 모바일 게임 ‘드래곤빌리지 아레나’ 합작 퍼블리싱 서비스 계약 체결 (1/18)","1"
"블록체인 기반 사업 확장 투자 재원 확보 목적 자기주식 약 210억원 규모 처분 결정 (@150,195) (12/21)","1"
"중국-대만 무력사태 관련 한중관계 급랭으로 4/19 ~ 4/20 주가 19% 하락 (4/19 ~ 20)","1"
"'제2의나라:크로스월드', 'A3:스틸 얼라이브', '샵 타이탄'이 중국의 판호 획득 소식에 주가 17.8% 상승 (12/29)","1"
"23년 출시예정인 RPG '파이널 판타지16' 신규 영상 공개 (10/21)","1"
"쿵야IP 활용한 쿵야 애니메이션의 공식 유튜브 채널 개설 및 애니메이션 공개 (4/29)","1"
"자회사인 카카오커머스의 지분 100% 취득 완료 (9/1)","1"
"문화 콘텐츠 브랜드 ‘피버(FEVER)’의 신규 프로젝트 ‘피버뮤직 2022 느껴 봄(Feelin’ Spring)’ 공개 (3/14)","1"
"자회사 그라운드X가 디지털NFT 결제방식에 이더리움과 신용카드결제 추가 지원 계획 발표 (2/19)","1"
"ESG 경영위원회 위원장 권영식 대표 선임 및 2022년 1분기 지속가능경영보고서 발간 계획 발표 (12/28)","1"
"1Q 실적 발표 (5/3)","1"
"올해부터 3년 동안 자기주식 소각 결정과 3개년 주주환원정책 공개 (2/7)","1"
"AI 시대 인간 역할 탐구하는 영상 콘텐츠 시리즈 'Be Human' 공개 (6/14)","1"
"모바일 디펜스 역할수행게임(RPG) '타임디펜더스' 글로벌 정식 출시 (4/20)","1"
"'미르M' 글로벌 CBT 12월 8일 시작 (11/24)","1"
"정철호 사내이사, 대표이사로 취임 (6/15)","1"
"턴 기반 전략 시뮬레이션 역할수행게임(SRPG) ‘마스터 오브 나이츠' 국내 사전예약 실시 (10/4)","1"
"국내사모 전환사채의 전환권 행사에 따라 19,193주 추가 상장 (4/21)","1"
"사내 어린이집 '웃는 땅콩'을 추가 신설 (3/15)","1"
"'쿵야 레스토랑즈' 팝업스토어 오픈 (3/10)","1"
"계열사 위지웍스튜디오와 함께 국내 헬스&뷰티기업 그레이스인터내셔날에 전략적 투자 단행 (10/21)","1"
"1,680억 원 규모의 자기주식 취득 결정 (3/28)","1"
"자회사인 King, Tjodolf Sommestad 신임 대표이사로 선임(2/23)","1"
"신작 MMORPG '오딘: 발할라라이징' 6월 15일 일본 서비스 개시 예고 (5/18)","1"
"1 . 마이크로소프트와 합병에 대해 4월 28일 주주총회에서 찬반 투표 실시 예고 (3/22)","1"
"신작 '던전앤파이터 모바일' 양대 앱마켓 매출 1위 달성 (4/3)","1"
"세계 신용평가 기관 S&P 글로벌의 ‘2023 기업 지속가능성 평가’에서 최상위 등급으로 선정 (3/16)","1"
"22년 4월 - 9월 실적 발표 (10/27)","1"
"자회사 ‘하이디어’ 김동규 대표, ‘2022 대한민국 콘텐츠 대상’ 대통령표창 수상 (12/14)","1"
"카카오엔터테인먼트, 1조 2,000억원 투자 유치(1/13)","1"
"디지털 애드테크 전문기업 '모비데이즈'가 게임 사업 본격화 위해 베스파 인수전에 참여 (4/7)","1"
"대만 글로벌 게임쇼 '저스트단 게임 페스티벌 2023' 참가 예정 (3/17)","1"
"국제 홀덤 토너먼트 룰 기반의 모바일 포커 게임 '한게임 더블에이 포커' 출시 (1/27)","1"
"카카오페이, MSCI지수 신규 편입 가능성 유력 종목으로 꼽히며 전거래일 대비 종가 2% 상승(1/25)","1"
"도쿄증권거래소 재편에 따라 기존 시장 제1부 → 프라임으로 소속부 변경 (9/22)","1"
"모바일 게임 ‘고양이와 스프(Cats & Soup)’, 정식 출시 5개월 만에 글로벌 누적 다운로드 1,000만 건 돌파 (1/4)","1"
"전술 액션 PvP 'Ghost Recon: Frontline' 공개 (10/6)","1"
"'서머너즈 워: 크로니클' 스팀 매출 순위 10위 기록 (3/24)","1"
"방치형 RPG ‘태초의 신은 고양이였다’에 ‘하이브’ 플랫폼 적용 계약 (5/16)","1"
"Sumo Group 인수에 대한 미국 정보기관 조사 착수 (10/29)","1"
"한국 게임 업체 최초로 유엔글로벌콤팩트(UNCG) 가입하여 ESG 경영 강화(12/26)","1"
"C2X NFT 마켓플레이스, 아트 NFT 라인업 강화 (10/20)","1"
"'P의 거짓'으로 글로벌 온라인 게임쇼 '서머 게임 페스트 2023'에 공식 파트너사로 참가 (5/12)","1"
"'던전 앤 파이터' IP 활용 대전 격투 게임 'DNF DUEL' 12/18 ~ 12/20 OBT 발표 (12/13)","1"
"MBX 생태계의 토큰 경제 시스템 '유니온 토크노믹스' 공개 (4/20)","1"
"미투젠의 자회사 조프소프트가 개발중인 <리프트 스위퍼> 최신 게임 플레이 영상 공개 (4/12)","1"
"김가람 대표이사가 5억원 규모의 더블유게임즈 주식 10,000주 장내 매수 (3/28)","1"
"블록체인 솔루션 개발사 Forte와 전략적 제휴 체결 (12/21)","1"
"키움증권, '브라운더스트2' 파이널 테스트 후기 (6/13)","1"
"실시간 전략 게임(RTS) ‘더 세틀러(The Settlers)’ PC 버전 3월 17일 정식 출시 예고 (1/17)","1"
"FY2021 연결기준 손익 변동 공시 (2/15)","1"
"블록체인 게임 및 메타버스 기반 디지털 자산 개발 탈중앙화 자율조직체, 브리더다오(BreederDAO)에 시리즈A 투자 단행 (1/26)","1"
"메타버스 기반 게임 '모두의 마블2: 메타월드', 19일 글로벌 시장에 정식 출시 (4/3)","1"
"SK C&C 판교 데이터센터 화재에 따른 매출 등 재무적인 영향은 제한적일 것이며 보상방안 수립 계획 등 투자판단 관련 주요경영사항 공시(10/17)","1"
"위믹스 재단 보유 물량 71,302,181 위믹스 소각 결정하며 투자 수익의 25%를 소각하는 '수축 토큰 경제' 구현 (12/13)","1"
"㈜겜플리트가 개발한 카드 전략 RPG ‘트리플 판타지’, 7월 PC버전 스팀 출시 (5/18)","1"
"뇌물, 횡령 등의 혐의로 직원 100명 이상 해고(1/16)","1"
"From Software 개발 오픈월드 액션 RPG 'Elden Ring' 정식 출시 (2/25)","1"
"신작 실시간 전략 게임 '프로젝트G'의 개발자 코멘터리 영상 공개 (4/18)","1"
"텐센트홀딩스, ByteDance가 운영하는 동영상 앱 Douyin와 협력하며 저작권 분쟁 종식 (4/8)","1"
"위믹스 플랫폼 전파를 목적으로 블록체인 게임 이용자 지원 플랫폼인 '게임체인저'와 전략적 제휴 체결 (3/22)","1"
"주주환원정책 일환으로 71억 원 규모의 자사주 소각 (4/29)","1"
"북미법인 '엔씨웨스트'가 서비스하고 있는 콘솔 음악리듬게임 '퓨저', 출시 2년만에 서비스 종료 (12/5)","1"
"인도 최대 가상자산 거래소 '비트비엔에스(Bitbns)'에 상장 (2/19)","1"
"4Q 실적 발표 (2/3)","1"
"게임 제작 및 글로벌 진출 목적으로 충남정보문화산업진흥원 충남글로벌게임센터와 업무 제휴 협약 체결 (3/28)","1"
"현대카드와 디지털기술 기반 협업 및 국내 최초 게임사 전용 상업자 전용 신용카드(PLCC) 서비스 제공 등 파트너십 체결 (12/20)","1"
"PC 게임 신작 '오버프라임'이 오는 29일부터 글로벌 CBT 시작 (4/25)","1"
"22년 7월 - 9월 실적 발표 (11/4)","1"
"네이버 메타버스 자회사 '네이버제트'와 합작법인 설립 추진 중 (3/14)","1"
"2Q 실적 발표 (8/31)","1"
"중국 정부, 과거 8년간 인수 건에 대한 미보고 사유로 범칙금 50만 위안 부과 (11/20)","1"
"글로벌 거래소 OKX에서 가상화폐 검증 점프 스타트 프로젝트 참여 (1/25)","1"
"주주총회 소집 결의 (3/6)","1"
"카카오페이 대표이사 류영준 대표를 카카오 공동대표로 내정 (11/25)","1"
"59억 원규모의 자기주식 처분 결정 (3/30)","1"
"모바일 야구 게임 '컴투스프로야구2023'와 '컴투스프로야구 V23'이 신규 시즌 앞두고 사전 예약 돌입 (3/3)","1"
"위메이드-조이시티 블록체인 사업, 게임개발 및 출시를 위한 업무협약 체결 (11/15)","1"
"11월 1일자로 광고 수익화 기업 애드엑스 흡수합병으로 적자 개선 기대감에 주가 상승 (10/24)","1"
"계열사 넵튠과 컬러버스가 메타버스 사업을 위해 디시인사이드와 3D 커뮤니티 구현을 위한 리소스 제작 관련 MOU 체결 (10/6)","1"
"P2E 사업 계획 발표 : 메타버스와 NFT 결합한 블록체인 기반 게임 준비 (11/18)","1"
"현재 개발 중인 PC·콘솔 신작 'TL'(Throne and Liberty)의 트레일러 영상 유튜브 조회수가 지난 22일에 400만회 달성 (3/23)","1"
"3Q 실적 발표 (10/21)","1"
"자회사 '컴투스플랫폼'이 디지털 콘텐츠 운영 전문 기업 라티스글로벌커뮤니케이션스와 플랫폼 서비스 확대를 위한 파트너 업무 협약 체결 (4/22)","1"
"K팝 플랫폼 '유니버스'를 카카오엔터테인먼트 산하 스타쉽엔터테인먼트에 매각 추진 (11/29)","1"
"1Q 실적 발표 (5/12)","1"
"공동체 얼라인먼트센터, 카카오 전 계열사 대상 임원 상장 후 최대 2년간 주식 매도 금지 규정 시행 공표 (1/13)","1"
"주주총회소집 결의 (2/7)","1"
"디자인 엔터테인먼트 앱 개발사 Reworks Oy 인수 (8/31)","1"
"스마일게이트의 인디 게임 플랫폼 '스토브인디'에 네오위즈 퍼블리싱 게임 5종 출시 (3/1)","1"
"알피지리퍼블릭 개발 모바일 MMORPG '거상M 징비록' 글로벌 퍼블리싱 계약 체결 (11/24)","1"
"액션 어드벤처 게임 'Assassin's Creed' 차기작 'Assassin's Creed Mirage', 10월 12일 출시 발표 (5/26)","1"
"MMORPG 신작 '워오브글로리(WAR OF GLORY)' 의 사전 예약자 수 50만명 돌파 (3/30)","1"
"1Q 실적 발표 (4/27)","1"
"'크로매틱소울: AFK 레이드'를 자사 블록체인 플랫폼(C2X)에 탑재해 전 세계 시장 출시 (4/28)","1"
"1Q 실적 발표 (5/8)","1"
"현대차증권, 자회사 라이온하트스튜디오 중복 상장 우려에 따라 목표 주가 8만원에서 58,000원으로 하향 조정(1/10)","1"
"주주총회 소집 결의·공고 (3/16)","1"
"자회사 컴투스 플랫폼, 한국캐리커처작가협회와 콘텐츠 업무협약 체결(1/25)","1"
"Sea Limited 지분 2.6% 매각 계약 체결 (1/4)","1"
"미래에셋증권이 카카오 목표주가를 30% 내린 7만원으로 리포트 발간 (10/24)","1"
"'크루세이더 퀘스트', 명작 만화 '베르세르크'와 컬래버레이션 (3/6)","1"
"자회사 네이버파이낸셜, 6개월 만에 전 직원에게 440억 원 규모의 스톡옵션 지급 (4/5)","1"
"네오위즈-네오플라이, 블록체인 생태계 구축 계획 발표 (12/1)","1"
"IP 사업 다각화 일환으로 자사의 캐릭터 브랜드 '웹젠 프렌즈' 온라인 패션 스토어 무신사에 입점 (1/11)","1"
"1 . 카카오 자회사 그라운드X(엑스)가 개발한 가상화폐 클레이튼 기반 코인 프로젝트 크롬(KROME)에 전략적 투자 단행 (3/21)","1"
"첫 가상현실(VR) RPG 게임 '다크스워드', 중국 출시 이후 유료 앱 순위와 신규 출시 앱 순위 1위 기록 (2/14)","1"
"네이버 D2SF, NFT 기반의 엔터테인먼트 콘텐츠 스타트업 ‘모드하우스’에 신규 투자 (5/19)","1"
"금리인상 속도 완화 기대감에 개인투자자 매수세가 몰리며 주가 상승 (10/26)","1"
"21년 10월 - 12월 실적 발표 (2/3)","1"
"리듬게임 ‘디제이맥스 리스펙트 V’, 신규 DLC ‘V EXTENSION 2’ 출시 (1/25)","1"
"월드 사이버 게임즈 2023 부산(WCG 2023) 참여해 트레이딩 카드 게임 신작 '쿠키런: 브레이버스' 최초 공개 (5/15)","1"
"마브렉스, NFT 스테이킹 서비스 오픈 (3/28)","1"
"'FINAL FANTASY XVI' 출시 일자 및 신규 트레일러 공개 (12/9)","1"
"오토체스 스타일의 카드 수집형 게임 '배틀 오브 네이션스'를 개발 중인 미국 블록체인 게임기업 '5X5 GAMING'에 전략적 투자 단행 (2/8)","1"
"신규 여성 임원 2명 선임 발표 (1/11)","1"
"레드폭스게임즈의 신작 모바일 전략 트레이딩 카드게임(TCG) '킹덤헌터'이 위믹스 플랫폼 온보딩 계약 체결 (2/23)","1"
"주주총회 소집 결의 (3/14)","1"
"11번가 라이브 커머스 플랫폼 ‘LIVE11’을 통해 게임을 소개하고 게임 재화와 웹젠의 캐릭터 브랜드 ‘웹젠 프렌즈’ 상품 지급 (4/14)","1"
"위믹스 토큰이 미국거래소 크릭토닷컴에 상장 (3/19)","1"
"PC/콘솔용 대전 격투게임 'DFN 듀얼'의 2차 글로벌 오픈 베타테스트 진행 예고 (3/28)","1"
"모바일 MMORPG '미르M' 글로벌 사전예약 실시(11/3)","1"
"루트슈터 신작 '퍼스트 디센던트' 크로스플레이 베타테스트 8월 22일~ 29일 실시 예고 (6/14)","1"
"자회사 플레이링스를 통해 위믹스 생태계 기반의 소셜카지노 P2E 게임 상반기 출시 예정 (4/20)","1"
"사명 선데이토즈 → 위메이드플레이로 변경","1"
"23년 1월 - 3월 실적 발표 (5/12)","1"
"삼성증권의 목표주가 11% 상향 조정과 하반기 반등 기대 평가에 따른 투자 심리 자극으로 19일 기준 종가 3.8% 상승 (5/19)","1"
"글로벌 엔터테인먼트 시장에 대한 사업 역량 강화 목적으로 K팝 공연 플랫폼 기업 마이뮤직테이스트 지분 58.47% 인수 및 경영권 확보 (3/28)","1"
"지주회사 적용 제외 통보 공시 (10/14)","1"
"22년 10월 - 12월 (2/8)","1"
"위믹스와 온보딩 게임 마케팅을 위해 미국 마케팅 플랫폼 서비스 기업 YOUAPPI(유애피)와 업무 협약 체결 (3/23)","1"
"클레이튼 메인넷 기반의 자체 블록체인 생태계 MBX(MARBLEX) 서비스 론칭 계획 발표 (2/28)","1"
"P2E 게임 등 경영 계획: 신작 게임에서는 NFT나 P2E 도입 방법 모색 예정","1"
"21년 11월 9일 임시주주총회 소집결의 : '컴투스홀딩스'로 사명변경을 위해 정관 변경 안건 상정 (11/9)","1"
"블록체인게임 '갤럭시 토네이도' 글로벌 출시 일정 공개 (12/27)","1"
"메타버스 플랫폼 개발사 퍼피랜드 지분 44% 약 310억에 인수 결정 (10/14)","1"
"배당정책에 따라 1주당 650원, 총 245억원 규모 현금배당 결정 (2/9)","1"
